№,Language,Language (local),Wiki,Articles,Total,Edits,Admins,Users,Active Users,Files,Depth,More than 
169,Rusyn,Русиньскый,rue,"8,358","17,556","130,545",1,"25,147",39,87,9,1000
170,Igbo,Ìgbò,ig,"8,296","14,494","82,988",5,"13,634",66,0,3,1000
171,Somali,Soomaali,so,"8,296","25,481","237,056",1,"31,889",60,0,40,1000
172,Shona,chiShona,sn,"8,287","16,522","96,36",1,"15,341",25,0,6,1000
173,Bhojpuri,भोजपुरी,bh,"7,995","68,674","721,936",2,"29,382",35,54,606,1000
174,Northern Sami,Sámegiella,se,"7,802","20,853","300,619",6,"26,151",22,0,40,1000
175,Erzya,Эрзянь (Erzjanj Kelj),myv,"7,7","25,993","139,204",4,"11,713",30,0,30,1000
176,West Flemish,West-Vlams,vls,"7,616","21,183","308,711",5,"24,546",20,480,46,1000
177,Dutch Low Saxon,Nedersaksisch,nds-nl,"7,596","20,395","320,511",6,"25,726",25,571,45,1000
178,Maori,Māori,mi,"7,418","13,428","153,171",2,"16,502",21,0,7,1000
179,Santali,ᱥᱟᱱᱛᱟᱲᱤ,sat,"7,35","16,844","95,734",3,"5,347",37,0,9,1000
180,Sardinian,Sardu,sc,"7,324","16,355","177,169",4,"21,79",32,150,16,1000
181,Nahuatl,Nāhuatl,nah,"7,065","19,081","495,422",3,"20,632",29,170,75,1000
182,Vepsian,Vepsän,vep,"6,699","30,915","150,721",1,"14,372",28,0,64,1000
183,Gan,贛語,gan,"6,489","33,572","394,728",1,"38,407",20,146,205,1000
184,Kabyle,Taqbaylit,kab,"6,422","15,879","105,81",2,"11,95",22,0,14,1000
185,Gilaki,گیلکی,glk,"6,408","13,778","61,89",3,"14,198",20,807,6,1000
186,Turkmen,Türkmen,tk,"6,286","15,587","228,811",2,"24,565",54,319,32,1000
187,Võro,Võro,fiu-vro,"6,2","12,038","176,402",4,"13,137",18,201,13,1000
188,Corsican,Corsu,co,"6,196","14,782","379,428",2,"19,765",33,0,49,1000
189,Tibetan,བོད་སྐད,bo,"6,012","17,549","139,779",1,"26,298",31,0,29,1000
190,Abkhazian,Аԥсуа,ab,"5,985","20,338","117,94",2,"17,588",28,9,33,1000
191,Moroccan Arabic,داريجة,ary,"5,625","43,099","179,336",3,"6,067",38,35,185,1000
192,Franco-Provençal,Arpetan,frp,"5,595","15,379","214,25",2,"14,614",24,0,43,1000
193,Komi,Коми,kv,"5,48","16,59","138,361",1,"13,162",14,0,34,1000
194,Cornish,Kernowek/Karnuack,kw,"5,469","11,69","199,252",2,"13,634",24,6,22,1000
195,Kashubian,Kaszëbsczi,csb,"5,431","8,724","185,825",3,"15,355",23,0,8,1000
196,Manx,Gaelg,gv,"5,429","19,852","307,223",3,"17,951",19,185,109,1000
197,Picard,Picard,pcd,"5,4","10,529","68,693",3,"15,686",18,49,6,1000
198,Uyghur,ئۇيغۇر تىلى,ug,"5,293","14,866","153,595",1,"19,665",35,282,34,1000
199,Udmurt,Удмурт кыл,udm,"5,132","17,006","120,584",4,"13,732",22,9,38,1000
200,Saraiki,سرائیکی,skr,"5,131","5,68","26,607",1,"1,252",16,0,0,1000
201,Aymara,Aymar,ay,"5,027","8,623","95,513",1,"15,255",21,0,6,1000
202,Zeelandic,Zeêuws,zea,"4,995","9,449","116,831",3,"11,977",13,1,10,1000
203,Norman,Nouormand/Normaund,nrm,"4,83","10,366","219,176",2,"12,279",16,0,28,1000
204,Guarani,Avañe'ẽ,gn,"4,812","11,09","120,237",2,"16,326",25,0,18,1000
205,Maltese,Malti,mt,"4,705","18,733","277,097",5,"20,072",31,"1,146",131,1000
206,Banjar,Bahasa Banjar,bjn,"4,584","22,292","76,828",2,"12,734",31,1,51,1000
207,Inari Sami,Anarâškielâ,smn,"4,461","13,996","64,543",6,"2,226",20,0,21,1000
208,Lezgian,Лезги чІал (Lezgi č’al),lez,"4,305","12,987","86,527",3,"9,724",15,10,27,1000
209,Lingua Franca Nova,Lingua franca nova,lfn,"4,175","6,661","37,906",1,"9,046",22,0,2,1000
210,Saterland Frisian,Seeltersk,stq,"4,063","10,62","120,376",4,"12,469",22,438,30,1000
211,Lao,ລາວ,lo,"4,018","12,325","94,671",1,"15,316",33,0,33,1000
212,Mirandese,Mirandés,mwl,"3,88","10,207","98,652",1,"12,156",19,0,26,1000
